,X,Object.ID,scan.name,LMA,Leaf.Area..cm2.,Leaf.mass..g.,SLA,Species,Location,Notes,Species_ID,GenePop_ID,SpeciesLoc_ID,Clone,sp_loc,genetic_name,Name,DA
25,22.5,208.75,"dryala-tm15_00087, dryala-tm15_00088, dryala-tm15_00089, dryala-tm15_00091",0.011180061,9.83,0.1099,89.44494995,alaskensis,Twelve Mile,NA,DA,DA,DA_tmi,No,DA_tm,tmi15_DA,DryalaTM15,0.965
26,26.5,213.5,"dryala-tm16_00092, dryala-tm16_00093, dryala-tm16_00094, dryala-tm16_00095",0.010298913,18.4,0.1895,97.09762533,alaskensis,Twelve Mile,NA,DA,DA,DA_tmi,No,DA_tm,tmi16_DA,DryalaTM16,0.9972
27,30.5,220.5,"dryala-tm17_00099, dryala-tm17_00100, dryala-tm17_00101, dryala-tm17_00102",0.01349277,8.99,0.1213,74.11376752,alaskensis,Twelve Mile,NA,DA,DA,DA_tmi,No,DA_tm,tmi17_DA,DryalaTM17,0.993
28,34.5,225.25,"dryala-tm18_00103, dryala-tm18_00105, dryala-tm18_00106, dryala-tm18_00107",0.010717092,10.18,0.1091,93.30889093,alaskensis,Twelve Mile,NA,DA,DA,DA_tmi,No,DA_tm,tmi18_DA,DryalaTM18,0.9948
29,38.5,231,"dryala-tm19_00109, dryala-tm19_00110, dryala-tm19_00112, dryala-tm19_00113",0.012898707,9.28,0.1197,77.52715121,alaskensis,Twelve Mile,NA,DA,DA,DA_tmi,No,DA_tm,tmi19_DA,DryalaTM19,0.8936
30,42.5,129,"dryala-tm2_00007, dryala-tm2_00008, dryala-tm2_00010, dryala-tm2_00011",0.013733719,6.91,0.0949,72.81348788,alaskensis,Twelve Mile,NA,DA,DA,DA_tmi,No,DA_tm,tmi02_DA,DryalaTM2,0.9956
31,46.5,236.75,"dryala-tm20_00115, dryala-tm20_00116, dryala-tm20_00117, dryala-tm20_00119",0.013553371,7.12,0.0965,73.78238342,alaskensis,Twelve Mile,NA,DA,DA,DA_tmi,No,DA_tm,tmi20_DA,DryalaTM20,0.956
32,50.5,135.5,"dryala-tm3_00013, dryala-tm3_00014, dryala-tm3_00017, dryala-tm3_00018",0.012263314,6.76,0.0829,81.54402895,alaskensis,Twelve Mile,NA,DA,DA,DA_tmi,No,DA_tm,tmi03_DA,DryalaTM3,0.9846
33,54.5,142,"dryala-tm4_00019, dryala-tm4_00022, dryala-tm4_00023, dryala-tm4_00024",0.009898348,7.87,0.0779,101.0269576,alaskensis,Twelve Mile,NA,DA,DA,DA_tmi,No,DA_tm,tmi04_DA,DryalaTM4,0.9872
34,58.5,147,"dryala-tm5_00025, dryala-tm5_00026, dryala-tm5_00028, dryala-tm5_00029",0.012787724,7.82,0.1,78.2,alaskensis,Twelve Mile,NA,DA,DA,DA_tmi,No,DA_tm,tmi05_DA,DryalaTM5,0.9938
